Phylum,Class,Order,Family,Genus,sample,name2,count
Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae,Edaphobacter,X1085,Control 3,6
Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae,Terracidiphilus,X1083,Control 1,5
Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae,Terracidiphilus,X1087,Control 5,2
Acidobacteriota,Acidobacteriae,Acidobacteriales,SbA1,Unclassified,X1084,Control 2,4
Acidobacteriota,Acidobacteriae,Acidobacteriales,Unclassified,Unclassified,X1086,Control 4,2
Acidobacteriota,Acidobacteriae,Acidobacteriales,Unclassified,Unclassified,X1087,Control 5,4
Acidobacteriota,Acidobacteriae,Acidoferrales,UBA7541,Acidoferrum,X1084,Control 2,4
Acidobacteriota,Acidobacteriae,Acidoferrales,UBA7541,Palsa-147,X1083,Control 1,8
Acidobacteriota,Acidobacteriae,Acidoferrales,UBA7541,Palsa-147,X1086,Control 4,3
Acidobacteriota,Acidobacteriae,Acidoferrales,UBA7541,Palsa-295,X1084,Control 2,7
Acidobacteriota,Acidobacteriae,Acidoferrales,UBA7541,Palsa-295,X1085,Control 3,6
Acidobacteriota,Acidobacteriae,Acidoferrales,UBA7541,QHYU01,X1084,Control 2,4
Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Ga0077553,X1083,Control 1,9
Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Unclassified,X1083,Control 1,6
Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Unclassified,X1084,Control 2,3
Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Unclassified,X1090,Heated 2,15
Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Unclassified,X1092,Heated 4,9
Acidobacteriota,Acidobacteriae,UBA7540,UBA7540,Unclassified,X1083,Control 1,7
Acidobacteriota,Aminicenantia,Aminicenantales,RBG-16-66-30,RBG-16-66-30,X1084,Control 2,3
Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,Unclassified,X1084,Control 2,7
Acidobacteriota,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacter,X1094,Heated 6,27
Acidobacteriota,Holophagae,Holophagales,Holophagaceae,Geothrix,X1083,Control 1,5
Acidobacteriota,Holophagae,Holophagales,Holophagaceae,Geothrix,X1085,Control 3,5
Acidobacteriota,Thermoanaerobaculia,Unclassified,Unclassified,Unclassified,X1085,Control 3,4
Acidobacteriota,Vicinamibacteria,Fen-336,JAGNNV01,JAGNNV01,X1086,Control 4,3
Acidobacteriota,Vicinamibacteria,Fen-336,JAGNNV01,JAGNNV01,X1090,Heated 2,6
Acidobacteriota,Vicinamibacteria,Vicinamibacterales,SCN-69-37,SCN-69-37,X1083,Control 1,5
Acidobacteriota,Vicinamibacteria,Vicinamibacterales,SCN-69-37,SCN-69-37,X1085,Control 3,4
Acidobacteriota,Vicinamibacteria,Vicinamibacterales,SCN-69-37,SCN-69-37,X1086,Control 4,5
Acidobacteriota,Vicinamibacteria,Vicinamibacterales,SCN-69-37,SCN-69-37,X1088,Control 6,4
Acidobacteriota,Vicinamibacteria,Vicinamibacterales,SCN-69-37,SCN-69-37,X1089,Heated 1,5
Acidobacteriota,Vicinamibacteria,Vicinamibacterales,SCN-69-37,SCN-69-37,X1090,Heated 2,69
Acidobacteriota,Vicinamibacteria,Vicinamibacterales,SCN-69-37,SCN-69-37,X1091,Heated 3,14
Acidobacteriota,Vicinamibacteria,Vicinamibacterales,SCN-69-37,SCN-69-37,X1092,Heated 4,27
Acidobacteriota,Vicinamibacteria,Vicinamibacterales,SCN-69-37,SCN-69-37,X1093,Heated 5,12
Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA2999,12-FULL-67-14b,X1090,Heated 2,4
Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA2999,Gp6-AA45,X1083,Control 1,4
Acidobacteriota,Vicinamibacteria,Vicinamibacterales,UBA2999,Gp6-AA45,X1085,Control 3,4
Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Luteitalea,X1083,Control 1,8
Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Luteitalea,X1090,Heated 2,9
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Bog-793,Fen-455,X1084,Control 2,7
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,BACL27,X1083,Control 1,502
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,BACL27,X1084,Control 2,311
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,BACL27,X1085,Control 3,180
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,BACL27,X1086,Control 4,254
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,BACL27,X1087,Control 5,240
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,BACL27,X1088,Control 6,129
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,BACL27,X1089,Heated 1,1226
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,BACL27,X1090,Heated 2,6595
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,BACL27,X1091,Heated 3,10840
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,BACL27,X1092,Heated 4,3375
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,BACL27,X1093,Heated 5,1943
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,BACL27,X1094,Heated 6,1721
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino5,X1083,Control 1,54
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino5,X1084,Control 2,46
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino5,X1085,Control 3,37
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino5,X1086,Control 4,35
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino5,X1087,Control 5,39
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino5,X1089,Heated 1,78
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino5,X1090,Heated 2,391
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino5,X1091,Heated 3,382
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino5,X1092,Heated 4,253
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino5,X1093,Heated 5,239
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino5,X1094,Heated 6,408
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino8,X1083,Control 1,205
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino8,X1084,Control 2,186
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino8,X1085,Control 3,103
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino8,X1086,Control 4,111
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino8,X1087,Control 5,155
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino8,X1088,Control 6,52
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino8,X1089,Heated 1,180
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino8,X1090,Heated 2,692
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino8,X1091,Heated 3,794
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino8,X1092,Heated 4,834
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino8,X1093,Heated 5,527
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Casp-actino8,X1094,Heated 6,1028
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter,X1085,Control 3,6
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter_A,X1083,Control 1,122
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter_A,X1084,Control 2,87
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter_A,X1085,Control 3,64
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter_A,X1086,Control 4,111
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter_A,X1087,Control 5,174
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter_A,X1088,Control 6,115
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter_A,X1089,Heated 1,1629
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter_A,X1090,Heated 2,4081
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter_A,X1091,Heated 3,3619
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter_A,X1092,Heated 4,3807
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter_A,X1093,Heated 5,1998
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter_A,X1094,Heated 6,2499
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,UBA2093,X1083,Control 1,101
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,UBA2093,X1084,Control 2,89
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,UBA2093,X1085,Control 3,65
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,UBA2093,X1086,Control 4,48
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,UBA2093,X1087,Control 5,70
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,UBA2093,X1088,Control 6,40
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,UBA2093,X1089,Heated 1,215
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,UBA2093,X1090,Heated 2,2014
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,UBA2093,X1091,Heated 3,953
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,UBA2093,X1092,Heated 4,1314
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,UBA2093,X1093,Heated 5,699
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,UBA2093,X1094,Heated 6,763
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,UBA3006,X1083,Control 1,1730
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,UBA3006,X1084,Control 2,1477
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,UBA3006,X1085,Control 3,830
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,UBA3006,X1086,Control 4,900
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,UBA3006,X1087,Control 5,900
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,UBA3006,X1088,Control 6,540
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,UBA3006,X1089,Heated 1,1574
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,UBA3006,X1090,Heated 2,7539
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,UBA3006,X1091,Heated 3,5739
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,UBA3006,X1092,Heated 4,4826
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,UBA3006,X1093,Heated 5,3165
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,UBA3006,X1094,Heated 6,2439
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,UBA668,X1084,Control 2,5
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Unclassified,X1083,Control 1,100
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Unclassified,X1084,Control 2,51
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Unclassified,X1085,Control 3,28
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Unclassified,X1086,Control 4,63
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Unclassified,X1087,Control 5,46
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Unclassified,X1088,Control 6,34
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Unclassified,X1089,Heated 1,234
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Unclassified,X1090,Heated 2,2070
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Unclassified,X1091,Heated 3,2013
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Unclassified,X1092,Heated 4,1364
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Unclassified,X1093,Heated 5,690
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Unclassified,X1094,Heated 6,628
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,JAEUJM01,JAEUJM01,X1087,Control 5,6
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,MedAcidi-G1,Unclassified,X1083,Control 1,9
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,MedAcidi-G1,Unclassified,X1087,Control 5,4
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Microtrichaceae,IMCC26207,X1084,Control 2,5
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Microtrichaceae,IMCC26207,X1091,Heated 3,23
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Microtrichaceae,JADJBW01,X1090,Heated 2,16
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,RAAP-2,Bog-756,X1085,Control 3,6
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,RAAP-2,RAAP-2,X1084,Control 2,6
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,RAAP-2,RAAP-2,X1085,Control 3,6
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,RAAP-2,RAAP-2,X1087,Control 5,11
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,RAAP-2,RAAP-2,X1088,Control 6,6
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,SKKL01,Actinomarinicola,X1086,Control 4,4
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,SZUA-35,CADEDH01,X1087,Control 5,8
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,TK06,Unclassified,X1089,Heated 1,13
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,TK06,Unclassified,X1090,Heated 2,48
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,TK06,Unclassified,X1093,Heated 5,8
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,TK06,Unclassified,X1094,Heated 6,30
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA8139,F1-20-MAGs160,X1083,Control 1,1401
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA8139,F1-20-MAGs160,X1084,Control 2,872
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA8139,F1-20-MAGs160,X1085,Control 3,377
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA8139,F1-20-MAGs160,X1086,Control 4,624
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA8139,F1-20-MAGs160,X1087,Control 5,256
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA8139,F1-20-MAGs160,X1088,Control 6,150
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA8139,F1-20-MAGs160,X1089,Heated 1,85
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA8139,F1-20-MAGs160,X1090,Heated 2,956
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA8139,F1-20-MAGs160,X1091,Heated 3,796
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA8139,F1-20-MAGs160,X1092,Heated 4,816
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA8139,F1-20-MAGs160,X1093,Heated 5,437
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA8139,F1-20-MAGs160,X1094,Heated 6,698
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA8139,M30B73,X1091,Heated 3,13
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,UBA8139,Unclassified,X1085,Control 3,1
Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Unclassified,Unclassified,X1083,Control 1,6
Actinobacteriota,Acidimicrobiia,IMCC26256,IMCC26256,IMCC26256,X1083,Control 1,3
Actinobacteriota,Acidimicrobiia,IMCC26256,JAGPDB01,JAGPDB01,X1083,Control 1,5
Actinobacteriota,Acidimicrobiia,IMCC26256,PALSA-555,SHUY01,X1083,Control 1,25
Actinobacteriota,Acidimicrobiia,IMCC26256,PALSA-555,SHUY01,X1084,Control 2,31
Actinobacteriota,Acidimicrobiia,IMCC26256,PALSA-555,SHUY01,X1085,Control 3,45
Actinobacteriota,Acidimicrobiia,IMCC26256,PALSA-555,SHUY01,X1086,Control 4,37
Actinobacteriota,Acidimicrobiia,IMCC26256,PALSA-555,SHUY01,X1087,Control 5,35
Actinobacteriota,Acidimicrobiia,IMCC26256,PALSA-555,SHUY01,X1088,Control 6,28
Actinobacteriota,Acidimicrobiia,IMCC26256,PALSA-555,SHUY01,X1089,Heated 1,164
Actinobacteriota,Acidimicrobiia,IMCC26256,PALSA-555,SHUY01,X1090,Heated 2,222
Actinobacteriota,Acidimicrobiia,IMCC26256,PALSA-555,SHUY01,X1091,Heated 3,154
Actinobacteriota,Acidimicrobiia,IMCC26256,PALSA-555,SHUY01,X1092,Heated 4,69
Actinobacteriota,Acidimicrobiia,IMCC26256,PALSA-555,SHUY01,X1093,Heated 5,59
Actinobacteriota,Acidimicrobiia,IMCC26256,PALSA-555,SHUY01,X1094,Heated 6,11
Actinobacteriota,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinomyces,X1091,Heated 3,7
Actinobacteriota,Actinomycetia,Actinomycetales,Actinomycetaceae,Actinotignum,X1094,Heated 6,23
Actinobacteriota,Actinomycetia,Actinomycetales,Demequinaceae,Demequina,X1086,Control 4,9
Actinobacteriota,Actinomycetia,Actinomycetales,Demequinaceae,Demequina,X1094,Heated 6,20
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Alpinimonas,X1083,Control 1,24
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Alpinimonas,X1085,Control 3,25
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Alpinimonas,X1087,Control 5,21
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Alpinimonas,X1088,Control 6,9
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Alpinimonas,X1091,Heated 3,24
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Aquiluna,X1083,Control 1,2572
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Aquiluna,X1084,Control 2,2335
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Aquiluna,X1085,Control 3,1008
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Aquiluna,X1086,Control 4,1213
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Aquiluna,X1087,Control 5,856
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Aquiluna,X1088,Control 6,720
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Aquiluna,X1089,Heated 1,1303
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Aquiluna,X1090,Heated 2,6106
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Aquiluna,X1091,Heated 3,3612
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Aquiluna,X1092,Heated 4,6192
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Aquiluna,X1093,Heated 5,2317
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Aquiluna,X1094,Heated 6,2577
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Aurantimicrobium,X1083,Control 1,222
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Aurantimicrobium,X1084,Control 2,85
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Aurantimicrobium,X1085,Control 3,204
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Aurantimicrobium,X1086,Control 4,60
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Aurantimicrobium,X1087,Control 5,73
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Aurantimicrobium,X1088,Control 6,28
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Aurantimicrobium,X1090,Heated 2,10
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Cryobacterium,X1083,Control 1,53
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Cryobacterium,X1084,Control 2,69
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Cryobacterium,X1085,Control 3,82
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Cryobacterium,X1086,Control 4,52
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Cryobacterium,X1087,Control 5,112
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Cryobacterium,X1088,Control 6,61
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Cryobacterium,X1090,Heated 2,13
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Cryobacterium,X1091,Heated 3,20
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Pontimonas,X1083,Control 1,196
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Pontimonas,X1084,Control 2,138
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Pontimonas,X1085,Control 3,104
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Pontimonas,X1086,Control 4,67
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Pontimonas,X1087,Control 5,57
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Pontimonas,X1088,Control 6,49
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Pontimonas,X1089,Heated 1,260
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Pontimonas,X1090,Heated 2,5700
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Pontimonas,X1091,Heated 3,1350
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Pontimonas,X1092,Heated 4,4908
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Pontimonas,X1093,Heated 5,1373
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Pontimonas,X1094,Heated 6,1133
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Rhodoglobus,X1084,Control 2,14
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Rhodoglobus,X1085,Control 3,21
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Rhodoluna,X1083,Control 1,4897
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Rhodoluna,X1084,Control 2,3892
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Rhodoluna,X1085,Control 3,2048
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Rhodoluna,X1086,Control 4,2077
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Rhodoluna,X1087,Control 5,1508
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Rhodoluna,X1088,Control 6,1587
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Rhodoluna,X1089,Heated 1,300
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Rhodoluna,X1090,Heated 2,4917
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Rhodoluna,X1091,Heated 3,1659
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Rhodoluna,X1092,Heated 4,2988
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Rhodoluna,X1093,Heated 5,742
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Rhodoluna,X1094,Heated 6,706
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Unclassified,X1083,Control 1,7171
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Unclassified,X1084,Control 2,5458
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Unclassified,X1085,Control 3,3455
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Unclassified,X1086,Control 4,3412
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Unclassified,X1087,Control 5,3955
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Unclassified,X1088,Control 6,2883
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Unclassified,X1089,Heated 1,279
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Unclassified,X1090,Heated 2,1206
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Unclassified,X1091,Heated 3,847
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Unclassified,X1092,Heated 4,1189
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Unclassified,X1093,Heated 5,475
Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Unclassified,X1094,Heated 6,523
Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Micrococcus,X1083,Control 1,4
Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Micrococcus,X1090,Heated 2,31
Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,Micrococcus,X1092,Heated 4,13
